,user_id,review,score
142,열매(alth****),악인전이랑 고민하며 봤는데 와 진짜 너무 재밌어요....  평생 못 잊을 것 같아요...,10
143,hoho****,너무잼있고 아름답고 감동이네요~최고입니다!!,10
144,보쌈(boss****),아무생각없이 갔는데 너무나 재밌게 보고왔습니다 강추!!,10
145,폐나(poiu****),"누가재미없다고했음? 완전재밌음...디즈니 덕후는 여기서 뼈를 묻습니다ㅎㅎ애니보다 알라딘은 실사영화가 더 잘만들어진거같고 영상미도 너무빼어남. 남주 못생겨서 실망했는데, 끝나갈때쯤 넘나귀엽고 잘생겼슴_^^_^_^spe...",10
146,sbh1****,"영화관에서 2번 본 영화가 없는데, 다시보러가고 싶은 영화입니다.",10
147,ccac****,디즈니가 마블에게... 우리도 이런 영화 만들수 있어~ 우리가 만들면 이렇게 만들지... 하고 한수 날린 영화... 액션 영상미 감동... 모두 잡음~♡,10
148,Bonnie(yeji****),원작 뛰어넘을겁니다 너무 아름다워서 행복했어요 알라딘 욕할만큼 아닙니다 주인공들이 다 매력있고 OST는 말할거없이 눈물납니다 10번 보고 DVD나오면 소장할거에요,10
149,케케(stor****),영화 대박... 4dx로 봤는데아맥으로 다시 도전합니다.,10
150,osw7****,알라딘 존잘이고 자스민 존예고 윌스미스 존잼임 끝,9
151,칸(dnek****),"시간가는줄몰랐다면 ,별다섯개 줘야지 음악,댄스 그래픽 다좋았다, 솔직히 캐스팅 때문에 기대안했는데, 괜한걱정 했네 , 자파 목소리가, 너무여리여리해서 몰입도 떨어뜨린것빼고는 굿굿 ,양탄자타고하늘 나는장면을 영화로보게...",10
152,TaniIn(wlgy****),어벤져스보다 재밋엇다....,10
153,주연(juye****),내가 뮤지컬 영화를 사랑하는 이유... 그리고 맨첨에 아이들한테 이야기해주는거로 시작하는게 나중에 다시 나올때 먼가 소름돋고 벅차올랐음 ㅠㅅㅠ 역시 믿고보는 디즈니,10
154,악꽁이(gund****),영화도 너무좋고 노래도 좋고 영상미도 좋고 다좋다 하지만 지금까지 디지니 실사화 영화중에서 공주는 제일 퀼리티가 높지않나싶다 알라딘도 그렇고 아무래도 배우를 애니속과 최대한 비슷하게 할려고한거같은데 캐스팅 진짜 잘한...,10
155,111140(888t****),유치할 줄 알았어. 알라딘이라는 착한 이야기와 디즈니이라는 브랜드의 착한 느낌 떄문에. 이게 웬 걸? 그저 멍청한 편견이었어. 꼭 보는걸 추천할게.,8
156,kw11****,아라비안나이트  (x)       아~~뢔~비안 나잍~~~ (o),10
157,dlwo****,"관람객


														
															
															
																감동스럽네요 ㅠㅠ 한번 더 봐야할듯합니다!!",10
158,taine(tain****),"뭔 기자 평가가 이래. 이 정도로 죽었다 깨어나도, 너희들은 못만든다.",10
159,쫑현(whdg****),너무 재밌어요 꼭 보세요,10
160,함잉(she5****),"관람객


														
															
															
																a whole new world 장면 눈물났네요",10
161,like****,영화끝나고 음원 무한반복중,10
162,dydt****,"관람객


														
															
															
																원작에 대한 추억을 해치지않고 몰입해서 너무재밌게 잘봤어요! 윌스미스의 지니가 정말좋았습니다! 보는내내 참 행복했어요~!",10
163,수마니(mani****),OST땜에 스크린 올라가고 있는데 끝까지 듣고 나왔어요. 어렸을적 형수돋는 영화,10
164,비익조(tree****),알라딘공감vs기생충비공....둘다 보신분들 추천좀요,10
165,피치(peac****),진짜 개존잼 제발 보세요 ;; 노래 소름,10
166,백곰씽(pure****),특히 춤 노래 압권임 굿굿,10
167,이나(puri****),제 유년시절의 꿈을 멋지게 지켜낸 디즈니 최고의 실사 영화..운명을 넘어 진정한 자기자신을 실현하는 스토리가 멋지고 감동적입니다. 전율이 일었어요.,10
168,아스라이(zzic****),말이 필요없다. 그냥 가서 봐야... 추억의 알라딘이 제대로 부활한듯~ 최고!,10
