movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys
20183749,장모님의 개인교습 (감독판),,2018.0,20181109,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '강정훈'}],"[{'companyCd': '20112175', 'companyNm': '(주)소나무픽쳐스'}]"
20183725,예쁜 처제들 2018 (감독판),,2018.0,20181109,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '강정훈'}],"[{'companyCd': '20112175', 'companyNm': '(주)소나무픽쳐스'}]"
20183750,내 친구엄마들 2018 (감독판),,2018.0,20181109,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '강정훈'}],"[{'companyCd': '20112175', 'companyNm': '(주)소나무픽쳐스'}]"
20180827,퓨쳐 월드,FUTURE WORLD,2018.0,20181108,장편,개봉,"이탈리아,프랑스,미국","SF,액션,판타지",이탈리아,SF,"[{'peopleNm': '제임스 프랭코'}, {'peopleNm': '브루스 티에리 청'}]",[]
20181925,다크 아이리스,Dark Iris,2018.0,20181108,장편,개봉,미국,"SF,스릴러",미국,SF,[],[]
20182755,피를 빠는 인형,Vampire Clay,2017.0,20181108,장편,개봉,일본,공포(호러),일본,공포(호러),[{'peopleNm': '우메자와 소이치'}],[]
20183257,폭풍우 : 죽을 때 까지 하고 싶어,YUUKO SHIRAKI NIGHT WITH A YOUNG LADY WITH A STORM RELATIVE AND TWO PEOPLE,2018.0,20181107,장편,개봉,일본,,일본,,[{'peopleNm': '마메자와 마메타로'}],[]
20183268,섹스는 맛있다,,2018.0,20181106,장편,개봉,한국,,한국,,[{'peopleNm': '제임스 김'}],"[{'companyCd': '20100142', 'companyNm': '(주)씨맥스커뮤니케이션즈'}]"
20182747,킹 아더: 원탁의 기사,Knights at the Round Table,2017.0,20181104,장편,개봉,미국,액션,미국,액션,[{'peopleNm': '자레드 콘'}],[]
20177477,루이자 밀러,Luisa Miller,,20181103,장편,개봉,미국,공연,미국,공연,[],[]
20183211,어린 누나 2,,2018.0,20181101,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '정진호'}],[]
20187303,하나식당,,2018.0,20181122,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '최낙희'}],"[{'companyCd': '20100435', 'companyNm': '에이케이엔터테인먼트(주)'}]"
20184472,형수:잘못된 관계,Gamandekinai,2016.0,20181129,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '후지모토 죠지'}],[]
